label,area,,,,area
,,0,0,0,
311,0.082408688,12.79394885,0.006780623,0.678062336,0.082408688
,,0,0,0,
358,0.082408688,12.87635754,0.006824299,0.682429887,0.082408688
,,0,0,0,
366,0.082408688,12.95876622,0.006867974,0.686797438,0.082408688
,,0,0,0,
427,0.082408688,13.04117491,0.00691165,0.69116499,0.082408688
,,0,0,0,
429,0.082408688,13.1235836,0.006955325,0.695532541,0.082408688
,,0,0,0,
442,0.082408688,13.20599229,0.006999001,0.699900092,0.082408688
,,0,0,0,
445,0.082408688,13.28840098,0.007042676,0.704267644,0.082408688
,,0,0,0,
462,0.082408688,13.37080967,0.007086352,0.708635195,0.082408688
,,0,0,0,
466,0.082408688,13.45321835,0.007130027,0.713002746,0.082408688
,,0,0,0,
485,0.082408688,13.53562704,0.007173703,0.717370297,0.082408688
,,0,0,0,
487,0.082408688,13.61803573,0.007217378,0.721737849,0.082408688
,,0,0,0,
489,0.082408688,13.70044442,0.007261054,0.7261054,0.082408688
,,0,0,0,
513,0.082408688,13.78285311,0.00730473,0.730472951,0.082408688
